County,Year,value
Jackson,2023-06-30,97.8
Jefferson,2023-06-30,125.6
Lafayette,2023-06-30,12.8
Lake,2023-06-30,107.6
Lee,2023-06-30,93.3
Leon,2023-06-30,190.8
Levy,2023-06-30,66.8
Liberty,2023-06-30,86.0
Madison,2023-06-30,48.3
Manatee,2023-06-30,112.9
Marion,2023-06-30,84.1
Martin,2023-06-30,156.0
Monroe,2023-06-30,92.2
Nassau,2023-06-30,116.5
Okaloosa,2023-06-30,139.3
Okeechobee,2023-06-30,58.0
Orange,2023-06-30,138.8
Osceola,2023-06-30,67.0
Palm Beach,2023-06-30,194.0
Pasco,2023-06-30,117.0
Pinellas,2023-06-30,172.1
Polk,2023-06-30,81.7
Putnam,2023-06-30,46.9
St. Johns,2023-06-30,182.8
St. Lucie,2023-06-30,113.6
Santa Rosa,2023-06-30,150.3
Sarasota,2023-06-30,161.2
Seminole,2023-06-30,207.1
Sumter,2023-06-30,49.1
Suwannee,2023-06-30,48.5
Taylor,2023-06-30,13.8
Union,2023-06-30,31.9
Volusia,2023-06-30,121.2
Wakulla,2023-06-30,102.7
Walton,2023-06-30,102.5
Washington,2023-06-30,61.8
Unknown,2023-06-30,
