Unnamed: 0,New Provider Name,Assessment and plan for trauma,Assessment and plan for pain,Pt is at baseline No GDR,Attempted GDR,Failed GDR,Unstable requiring no med changes,Pt Unstable Requiring Med Changes,Ordered labs,Total Psych Meds Started,Total Psych Meds Discontinued,Total Psych Meds Increased,Total Pysch Meds Decreased,Changed diagnosis,Referred patient to,Initiated prior authorization,Summary of session and goals,Decision making,Total Difference In Psych Meds,Initiated Baker Act,Initiated 1 1 sitter,Removed 1 1 sitter
,Provider-56,347,347,314,10,0,3,82,15,64,44,33,20,5,3,5,0,1,-20,0,0,0
,Provider-57,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0
,Provider-145,41,39,159,2,0,28,33,20,41,21,3,0,14,5,0,0,4,-20,0,0,0
,Provider-146,104,91,302,84,0,33,119,50,103,85,78,80,26,8,4,0,4,-18,0,1,5
,Provider-164,44,32,141,8,0,45,130,12,78,38,45,22,12,14,1,0,5,-40,0,0,0
,Provider-126,35,32,108,92,1,68,108,6,57,95,56,67,8,0,2,0,35,38,0,1,2
,Provider-59,67,65,211,12,0,24,69,14,51,45,29,18,21,9,0,0,4,-6,0,0,0
,Provider-60,280,0,0,0,0,0,0,0,0,0,0,0,5,0,0,281,0,0,0,0,0
,Provider-61,91,87,290,36,0,87,73,19,50,54,39,17,12,18,0,0,0,4,0,0,0
,Provider-62,47,44,149,115,0,18,96,26,55,73,55,105,3,0,0,0,20,18,0,0,0
,Provider-63,42,42,109,0,1,44,133,0,81,29,61,12,0,5,0,0,0,-52,0,0,0
,Provider-137,54,52,184,7,0,37,69,0,32,14,42,9,13,8,1,0,5,-18,1,0,0
,Provider-65,31,30,157,39,0,30,99,19,48,25,72,45,9,10,0,0,0,-23,0,1,2
,Provider-66,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0
,Provider-127,31,30,212,7,2,16,103,4,60,13,50,9,5,0,0,0,0,-47,0,0,0
,Provider-158,10,10,55,8,0,15,39,0,18,18,19,17,1,2,0,0,9,0,0,0,0
,Provider-67,38,34,90,5,0,21,38,7,12,24,23,7,12,18,0,0,11,12,0,0,0
,Provider-147,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0
,Provider-69,77,74,265,9,0,18,94,3,57,42,50,13,2,2,0,0,3,-15,0,0,0
,Provider-112,87,84,130,10,0,68,98,41,73,49,25,23,12,141,0,0,1,-24,0,0,3
,Provider-71,73,72,274,30,1,64,63,0,27,62,45,17,5,1,0,0,6,35,2,0,1
,Provider-72,60,60,218,47,0,19,96,25,61,57,59,38,11,0,0,0,11,-4,0,0,0
,Provider-74,60,59,267,12,1,16,61,5,53,36,39,20,8,11,5,0,2,-17,0,0,0
,Provider-75,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0
,Provider-76,86,88,265,21,1,15,81,8,69,54,34,21,10,4,3,0,0,-15,0,0,0
,Provider-159,32,31,120,19,0,17,38,12,26,24,20,14,2,9,0,0,14,-2,0,0,0
,Provider-128,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0
,Provider-118,22,20,74,23,0,148,92,0,57,22,41,19,7,0,0,0,2,-35,0,0,0
,Provider-77,60,48,218,29,0,172,177,15,77,40,117,42,31,20,2,0,4,-37,4,0,1
,Provider-78,63,48,155,24,0,40,77,13,57,31,34,19,12,3,2,0,0,-26,0,0,0
,Provider-79,54,53,174,31,0,18,66,22,44,48,38,17,21,2,1,0,4,4,0,0,0
,Provider-160,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0
,Provider-129,68,61,227,58,1,164,124,13,58,97,69,64,18,0,0,0,4,39,0,0,1
,Provider-81,238,0,0,0,0,0,0,0,0,0,0,0,33,76,0,238,0,0,1,1,1
,Provider-119,43,41,208,3,0,1,30,1,23,6,7,6,1,0,0,0,28,-17,0,0,0
,Provider-166,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0
,Provider-83,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0,0,0,0,0
,Provider-84,163,49,237,37,0,23,94,27,36,42,76,30,21,1,0,0,10,6,0,0,1
,Provider-106,62,64,296,20,2,24,116,17,86,35,60,20,33,15,2,0,23,-51,1,1,0
,Provider-85,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0
,Provider-121,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,0,0,0,0
,Provider-86,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0
,Provider-87,328,287,54,4,8,206,61,22,29,74,35,4,27,290,0,0,1,45,2,9,5
,Provider-88,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0
,Provider-139,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
